scope,contest_id,era,count,bias,mae,rmse,median_error,median_absolute_error,absolute_error_p75,absolute_error_p90,absolute_error_p95,exact_rate,within_one_rate,within_five_rate,within_ten_rate
overall,all,all,137069,6.108449029320999,7.375854496640378,13.792320739786847,7.0,7.0,11.0,15.0,17.0,0.1412865053367282,0.2959312463066047,0.4396763673770145,0.7266996913963041
per-contest,1000,old,3832,-0.019572025052192066,0.47520876826722336,0.6893538773860806,0.0,0.0,1.0,1.0,1.0,0.5247912317327766,1.0,1.0,1.0
per-contest,1100,old,5142,-0.014002333722287048,0.4340723453908985,0.6588416694403129,0.0,0.0,1.0,1.0,1.0,0.5659276546091015,1.0,1.0,1.0
per-contest,1200,old,6913,-0.017937219730941704,0.44293360335599596,0.6655325712209703,0.0,0.0,1.0,1.0,1.0,0.557066396644004,1.0,1.0,1.0
per-contest,1300,old,8675,-0.013948126801152738,0.4397694524495677,0.6631511535461336,0.0,0.0,1.0,1.0,1.0,0.5602305475504322,1.0,1.0,1.0
per-contest,1400,new,14710,4.744731475186947,5.099456152277362,6.286492376819281,5.0,5.0,8.0,10.0,12.0,0.07688647178789938,0.23929299796057105,0.5385452073419442,0.9140720598232495
per-contest,1500,old,703,-0.008534850640113799,0.4950213371266003,0.7035775274456968,0.0,0.0,1.0,1.0,1.0,0.5049786628733998,1.0,1.0,1.0
per-contest,1585,new,1478,22.651556156968876,23.080514208389715,30.155247828250733,27.0,27.0,37.0,47.0,54.0,0.18741542625169147,0.3159675236806495,0.34370771312584575,0.3606224627875507
per-contest,2000,new,27828,7.761211729193618,8.335740980307603,9.367297516196198,9.0,9.0,12.0,14.0,15.0,0.018506540175362945,0.09271237602414834,0.24946097455799915,0.6714819606152077
per-contest,2050,new,17951,10.51289621748092,10.813492284552392,12.379891455074167,11.0,11.0,15.0,18.0,20.0,0.06712717954431507,0.119659071917999,0.22271739735947857,0.4276641969806696
per-contest,2130,new,17494,7.253629815936892,7.470161198125071,8.91203214248324,8.0,8.0,11.0,14.0,15.0,0.09163141648565222,0.18452040699668457,0.3428032468274837,0.7132731222133303
per-contest,2200,new,14992,5.940301494130202,6.341315368196371,7.224590219662918,6.0,6.0,9.0,11.0,12.0,0.03782017075773746,0.13187033084311633,0.39334311632870866,0.8801360725720384
per-contest,2234,new,17351,6.556106276295314,13.76087833554262,31.091418910923487,11.0,11.0,15.0,18.0,21.0,0.004668318828885943,0.07941905365684974,0.21537663535242926,0.4799723358884214
